Rank,nctid,age,age_id
5870,NCT04536051,"18 Years and older  (Adult, Older Adult)",age_101
5871,NCT04868435,"18 Years and older  (Adult, Older Adult)",age_101
5873,NCT04715477,"18 Years and older  (Adult, Older Adult)",age_101
5883,NCT04727775,"18 Years and older  (Adult, Older Adult)",age_101
5884,NCT04757883,"18 Years and older  (Adult, Older Adult)",age_101
5885,NCT04453527,"18 Years and older  (Adult, Older Adult)",age_101
5886,NCT04436276,"18 Years and older  (Adult, Older Adult)",age_101
5888,NCT04264533,"18 Years and older  (Adult, Older Adult)",age_101
5889,NCT04473300,"18 Years and older  (Adult, Older Adult)",age_101
5890,NCT04930055,"18 Years and older  (Adult, Older Adult)",age_101
5892,NCT04784624,"18 Years and older  (Adult, Older Adult)",age_101
5893,NCT04828902,"18 Years and older  (Adult, Older Adult)",age_101
5894,NCT04338841,"18 Years and older  (Adult, Older Adult)",age_101
5895,NCT04323527,"18 Years and older  (Adult, Older Adult)",age_101
5896,NCT02765191,"18 Years and older  (Adult, Older Adult)",age_101
5897,NCT04768998,"18 Years and older  (Adult, Older Adult)",age_101
5901,NCT04702178,"18 Years and older  (Adult, Older Adult)",age_101
5902,NCT04452487,"18 Years and older  (Adult, Older Adult)",age_101
5911,NCT04755972,"18 Years and older  (Adult, Older Adult)",age_101
5912,NCT04385004,"18 Years and older  (Adult, Older Adult)",age_101
5917,NCT00571389,"18 Years and older  (Adult, Older Adult)",age_101
5918,NCT03963622,"18 Years and older  (Adult, Older Adult)",age_101
5923,NCT04442789,"18 Years and older  (Adult, Older Adult)",age_101
5924,NCT04316377,"18 Years and older  (Adult, Older Adult)",age_101
5931,NCT04786080,"18 Years and older  (Adult, Older Adult)",age_101
5934,NCT04479540,"18 Years and older  (Adult, Older Adult)",age_101
5935,NCT04698798,"18 Years and older  (Adult, Older Adult)",age_101
5936,NCT04853199,"18 Years and older  (Adult, Older Adult)",age_101
5941,NCT04894253,"18 Years and older  (Adult, Older Adult)",age_101
5946,NCT04282135,"18 Years and older  (Adult, Older Adult)",age_101
5951,NCT04913766,"18 Years and older  (Adult, Older Adult)",age_101
5952,NCT04852848,"18 Years and older  (Adult, Older Adult)",age_101
5955,NCT03738774,"18 Years and older  (Adult, Older Adult)",age_101
5965,NCT04385836,"18 Years and older  (Adult, Older Adult)",age_101
5968,NCT04536376,"18 Years and older  (Adult, Older Adult)",age_101
5977,NCT04426071,"18 Years and older  (Adult, Older Adult)",age_101
5978,NCT04396600,"18 Years and older  (Adult, Older Adult)",age_101
5982,NCT04341727,"18 Years and older  (Adult, Older Adult)",age_101
5983,NCT04786301,"18 Years and older  (Adult, Older Adult)",age_101
5984,NCT04441632,"18 Years and older  (Adult, Older Adult)",age_101
5985,NCT04967755,"18 Years and older  (Adult, Older Adult)",age_101
5986,NCT04394403,"18 Years and older  (Adult, Older Adult)",age_101
5987,NCT04363047,"18 Years and older  (Adult, Older Adult)",age_101
5991,NCT04408196,"18 Years and older  (Adult, Older Adult)",age_101
5993,NCT04495543,"18 Years and older  (Adult, Older Adult)",age_101
5994,NCT04420273,"18 Years and older  (Adult, Older Adult)",age_101
5997,NCT04844138,"18 Years and older  (Adult, Older Adult)",age_101
6001,NCT04980326,"18 Years and older  (Adult, Older Adult)",age_101
6002,NCT04846790,"18 Years and older  (Adult, Older Adult)",age_101
6004,NCT04791241,"18 Years and older  (Adult, Older Adult)",age_101
6005,NCT04826809,"18 Years and older  (Adult, Older Adult)",age_101
6010,NCT04370678,"18 Years and older  (Adult, Older Adult)",age_101
6014,NCT04357977,"18 Years and older  (Adult, Older Adult)",age_101
6019,NCT04788433,"18 Years and older  (Adult, Older Adult)",age_101
6020,NCT04715854,"18 Years and older  (Adult, Older Adult)",age_101
6024,NCT02788903,"18 Years and older  (Adult, Older Adult)",age_101
6025,NCT04602286,"18 Years and older  (Adult, Older Adult)",age_101
6027,NCT04776941,"18 Years and older  (Adult, Older Adult)",age_101
6029,NCT04643964,"18 Years and older  (Adult, Older Adult)",age_101
6030,NCT04809272,"18 Years and older  (Adult, Older Adult)",age_101
6032,NCT04727762,"18 Years and older  (Adult, Older Adult)",age_101
6035,NCT04422769,"18 Years and older  (Adult, Older Adult)",age_101
6038,NCT04939714,"18 Years and older  (Adult, Older Adult)",age_101
6043,NCT04921228,"18 Years and older  (Adult, Older Adult)",age_101
6047,NCT04962204,"18 Years and older  (Adult, Older Adult)",age_101
6051,NCT04557605,"18 Years and older  (Adult, Older Adult)",age_101
6052,NCT04688502,"18 Years and older  (Adult, Older Adult)",age_101
6061,NCT04763213,"18 Years and older  (Adult, Older Adult)",age_101
6063,NCT04760418,"18 Years and older  (Adult, Older Adult)",age_101
6065,NCT04513496,"18 Years and older  (Adult, Older Adult)",age_101
6067,NCT04409496,"18 Years and older  (Adult, Older Adult)",age_101
6068,NCT04779138,"18 Years and older  (Adult, Older Adult)",age_101
6070,NCT04884529,"18 Years and older  (Adult, Older Adult)",age_101
6073,NCT04368299,"18 Years and older  (Adult, Older Adult)",age_101
6076,NCT04687488,"18 Years and older  (Adult, Older Adult)",age_101
6079,NCT04848831,"18 Years and older  (Adult, Older Adult)",age_101
6081,NCT04769999,"18 Years and older  (Adult, Older Adult)",age_101
6083,NCT04545242,"18 Years and older  (Adult, Older Adult)",age_101
6088,NCT04751474,"18 Years and older  (Adult, Older Adult)",age_101
6090,NCT04981535,"18 Years and older  (Adult, Older Adult)",age_101
6091,NCT03226886,"18 Years and older  (Adult, Older Adult)",age_101
6093,NCT04601415,"18 Years and older  (Adult, Older Adult)",age_101
6094,NCT04413006,"18 Years and older  (Adult, Older Adult)",age_101
6096,NCT04372693,"18 Years and older  (Adult, Older Adult)",age_101
6098,NCT04331808,"18 Years and older  (Adult, Older Adult)",age_101
6099,NCT04930016,"18 Years and older  (Adult, Older Adult)",age_101
6100,NCT04394455,"18 Years and older  (Adult, Older Adult)",age_101
6101,NCT04779450,"18 Years and older  (Adult, Older Adult)",age_101
6103,NCT04797208,"18 Years and older  (Adult, Older Adult)",age_101
6104,NCT04468789,"18 Years and older  (Adult, Older Adult)",age_101
6107,NCT04444713,"18 Years and older  (Adult, Older Adult)",age_101
6109,NCT04780425,"18 Years and older  (Adult, Older Adult)",age_101
6110,NCT04148430,"18 Years and older  (Adult, Older Adult)",age_101
6113,NCT04475185,"18 Years and older  (Adult, Older Adult)",age_101
6114,NCT04872309,"18 Years and older  (Adult, Older Adult)",age_101
6115,NCT04353245,"18 Years and older  (Adult, Older Adult)",age_101
6116,NCT04424355,"18 Years and older  (Adult, Older Adult)",age_101
6118,NCT04852809,"18 Years and older  (Adult, Older Adult)",age_101
